Date,Year,Month,Open,High,Low,Close*,Adj Close**, Volume ,Returns
29/01/1990,1990,Jan,325.8,327.31,321.79,325.2,325.2," 150,770,000 ",-0.001845018
30/01/1990,1990,Jan,325.2,325.73,319.83,322.98,322.98," 186,030,000 ",-0.006873491
31/01/1990,1990,Jan,322.98,329.08,322.98,329.08,329.08," 189,660,000 ",0.018536526
01/02/1990,1990,Feb,329.08,329.86,327.76,328.79,328.79," 154,580,000 ",-0.000882022
02/02/1990,1990,Feb,328.79,332.1,328.09,330.92,330.92," 164,400,000 ",0.006436601
05/02/1990,1990,Feb,330.92,332.16,330.45,331.85,331.85," 130,950,000 ",0.002802471
06/02/1990,1990,Feb,331.85,331.86,328.2,329.66,329.66," 134,070,000 ",-0.006643208
07/02/1990,1990,Feb,329.66,333.76,326.55,333.75,333.75," 186,710,000 ",0.012254682
08/02/1990,1990,Feb,333.75,336.09,332,332.96,332.96," 176,240,000 ",-0.002372657
09/02/1990,1990,Feb,333.02,334.6,332.41,333.62,333.62," 146,910,000 ",0.001798453
12/02/1990,1990,Feb,333.62,333.62,329.97,330.08,330.08," 118,390,000 ",-0.010724673
13/02/1990,1990,Feb,330.08,331.61,327.92,331.02,331.02," 144,490,000 ",0.002839708
14/02/1990,1990,Feb,331.02,333.2,330.64,332.01,332.01," 138,530,000 ",0.002981838
15/02/1990,1990,Feb,332.01,335.21,331.61,334.89,334.89," 174,620,000 ",0.008599839
16/02/1990,1990,Feb,334.89,335.64,332.42,332.72,332.72," 166,840,000 ",-0.006522
20/02/1990,1990,Feb,332.72,332.72,326.26,327.99,327.99," 147,300,000 ",-0.014421171
21/02/1990,1990,Feb,327.91,328.17,324.47,327.67,327.67," 159,240,000 ",-0.000732444
22/02/1990,1990,Feb,327.67,330.98,325.7,325.7,325.7," 184,320,000 ",-0.006048511
23/02/1990,1990,Feb,325.7,326.15,322.1,324.15,324.15," 148,490,000 ",-0.004781737
26/02/1990,1990,Feb,324.16,328.67,323.98,328.67,328.67," 148,900,000 ",0.01372197
27/02/1990,1990,Feb,328.68,331.94,328.47,330.26,330.26," 152,590,000 ",0.004784109
28/02/1990,1990,Feb,330.26,333.48,330.16,331.89,331.89," 184,400,000 ",0.004911266
